DATUM_VORSTOSS_EINGANG;NR_LEGISLATUR;GRG_NR;VORSTOSS_BEZEICHNUNG;VORSTOSSART_BEZEICHNUNG;VORSTOSSART_CODE;Sachbegriffe_GRGEKO_1;Sachbegriffe_GRGEKO_2;Sachbegriffe_GRGEKO_3;Thema_1;Thema_2;Thema_3;VORSTOESSER_IN_1;PARTEI_BEZEICHNUNG_1;PARTEI_CODE_1;VORSTOESSER_IN_2;PARTEI_BEZEICHNUNG_2;PARTEI_CODE_2;VORSTOESSER_IN_3;PARTEI_BEZEICHNUNG_3;PARTEI_CODE_3;VORSTOESSER_IN_4;PARTEI_BEZEICHNUNG_4;PARTEI_CODE_4;VORSTOESSER_IN_5;PARTEI_BEZEICHNUNG_5;PARTEI_CODE_5;VORSTOESSER_IN_6;PARTEI_BEZEICHNUNG_6;PARTEI_CODE_6;VORSTOESSER_IN_7;PARTEI_BEZEICHNUNG_7;PARTEI_CODE_7;VORSTOESSER_IN_8;PARTEI_BEZEICHNUNG_8;PARTEI_CODE_8;VORSTOESSER_IN_9;PARTEI_BEZEICHNUNG_9;PARTEI_CODE_9;VORSTOESSER_IN_10;PARTEI_BEZEICHNUNG_10;PARTEI_CODE_10;BEANTWORTUNG_REGIERUNGSRAT;DATUM_BESCHLUSS_GR;BESCHLUSS_GR;BESCHLUSS_GR_CODE;VORLAEUFIGE_UNTERSTUETZUNG;ERLEDIGUNG_GR;DATUM_BEANTWORTUNG_REGIERUNGSRAT
15.08.2018;0257/2016-2020/GR;257;Fragestunde im Grossen Rat des Kantons Thurgau;Motion;2;17.1 Grosser Rat;;;Parlament;Staatspolitik;;Hermann Lei;SVP;1;Petra Kuhn;SVP;1;Aline Indergand;SVP;1;;;;;;;;;;;;;;;;;;;;;;pendent;pendent;pendent am 1.1.2019;5;;;
15.08.2018;0257/2016-2020/GR;257;Fragestunde im Grossen Rat des Kantons Thurgau;Motion;2;17.1 Grosser Rat;;;Parlament;Staatspolitik;;Hermann Lei;SVP;1;Petra Kuhn;SVP;1;Aline Indergand;SVP;1;;;;;;;;;;;;;;;;;;;;;;06.05.2019;03.07.2019;erheblich;1;;;
15.08.2018;0260/2016-2020/GR;260;Umsetzung revidiertes Gewässerschutzgesetz im Kanton Thurgau;Interpellation;4;72.1 Wasserwirtschaft, Wasserbau, Oeffentliche Gewässer;;;Raumplanungs- und Wohnungswesen;Wirtschaft;;Toni Kappeler;GP;5;Maja Bodenmann;CVP;3;;;;;;;;;;;;;;;;;;;;;;;;;pendent;pendent;pendent am 1.1.2019;5;;;
15.08.2018;0260/2016-2020/GR;260;Umsetzung revidiertes Gewässerschutzgesetz im Kanton Thurgau;Interpellation;4;72.1 Wasserwirtschaft, Wasserbau, Oeffentliche Gewässer;;;Raumplanungs- und Wohnungswesen;Wirtschaft;;Toni Kappeler;GP;5;Maja Bodenmann;CVP;3;;;;;;;;;;;;;;;;;;;;;;;;;25.06.2019;06.11.2019;;;;;
15.08.2018;0258/2016-2020/GR;258;Keine Änderung des Zahlungsregimes bei der Arbeitslosenversicherung für Grenzgänger;Motion;2;83.7 Arbeitslosenversicherung;;;Sozialer Schutz;Soziale Fragen;Beschäftigung und Arbeit;Urs Martin;SVP;1;Hermann Lei;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;pendent;pendent;pendent am 1.1.2019;5;;;
15.08.2018;0258/2016-2020/GR;258;Keine Änderung des Zahlungsregimes bei der Arbeitslosenversicherung für Grenzgänger;Motion;2;83.7 Arbeitslosenversicherung;;;Sozialer Schutz;Soziale Fragen;Beschäftigung und Arbeit;Urs Martin;SVP;1;Hermann Lei;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;02.07.2019;11.09.2019;Rückzug;4;;;
15.08.2018;0259/2016-2020/GR;259;Missachtung der Ausschaffungsinitiative auch im Thurgau?;Interpellation;4;31.1 StGB, EG/StGB, Verwaltungsstrafrecht;;;Recht allgemein;;;Hanspeter Gantenbein;SVP;1;Hermann Lei;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;28.05.2019;23.10.2019;;;;;
15.08.2018;0259/2016-2020/GR;259;Missachtung der Ausschaffungsinitiative auch im Thurgau?;Interpellation;4;31.1 StGB, EG/StGB, Verwaltungsstrafrecht;;;Recht allgemein;;;Hanspeter Gantenbein;SVP;1;Hermann Lei;SVP;1;;;;;;;;;;;;;;;;;;;;;;;;;pendent;pendent;pendent am 1.1.2019;5;;;
15.08.2018;0262/2016-2020/GR;262;Gesetz über die Alimenten-Bevorschussung - Spezialfall Thurgau;Einfache Anfrage;5;83.6 Familien- und Kinderzulagen;;;Sozialer Schutz;Soziale Fragen;;Cornelia Hasler;FDP;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;02.10.2018;;;;;;
15.08.2018;0263/2016-2020/GR;263;Nutzung von Regenwasser: Ein Beitrag zur Problemlösung?;Einfache Anfrage;5;72.1 Wasserwirtschaft, Wasserbau, Oeffentliche Gewässer;;;Raumplanungs- und Wohnungswesen;Wirtschaft;;Stefan Leuthold;glp;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;23.10.2018;;;;;;
29.08.2018;0268/2016-2020/GR;268;Grossratspräsidium für Nichtregierungsparteien;Motion;2;17.1 Grosser Rat;;;Parlament;Staatspolitik;;Kurt Egger;GP;5;Ueli Fisch;glp;6;Wolfgang Ackerknecht;EVP;7;Daniel Frischknecht;EDU;8;Andreas Guhl;BDP;8;;;;;;;;;;;;;;;;17.06.2019;14.08.2019;nicht erheblich;2;;;
29.08.2018;0267/2016-2020/GR;267;Ratsfreier Mittwoch - für eine bessere Vereinbarkeit von Politik und Familie;Motion;2;17.1 Grosser Rat;;;Parlament;Staatspolitik;;Marina Bruggmann;SP;4;Gina Rüetschi;GP;5;René Walther;FDP;2;Marlise Bornhauser;EDU;8;Pascal Schmid;SVP;1;Maja Bodenmann;CVP;3;Lucas Orellano;glp;6;;;;;;;;;;17.06.2019;14.08.2019;nicht erheblich;2;;;
